context	segment	gender
"Kucan appeared on Conspiracy Theory with Jesse Ventura on truTV, where he was enlisted by Ventura as the resident skeptic. "	 Kucan is the author of the novel Full Contact: The Collected Stories.	male
"In 1960, he married French-Canadian Janick Larouche, whom he met in a language class in Toronto, and with whom he had sons Pierre and Hans. "	" Professionally, Zündel worked as a graphic artist, photographer, photo retoucher, and printer."	male
"In 1978, he became a Presidential elector, a position he also held in 1982 and 1998. "	" From 1979 to 1980, Aho was Political Secretary to the Ministry of Foreign Affairs."	male
"“Dictators are stupid,” he noted, “They won’t necessarily read between the lines.” "	" As a young artist in Baghdad in the 1980s, Alfraji worked as an animator for children's television."	male
"Later that day, UN and Brazilian officials said that he appeared to have shot himself in the head, several days after national elections had been postponed for a fourth time. "	 Bacellar was also a teacher of geography and of Brazilian Studies in military schools.	male
As an infant Balzac was sent to a wet nurse; the following year he was joined by his sister Laure and they spent four years away from home. 	" When the Balzac children returned home, they were kept at a frosty distance from their parents, which affected the author-to-be significantly."	male
"Camejo was survived by his wife, Morella Camejo; stepdaughter Alexandra Baquero, stepson Victor Baquero, and brothers Antonio and Daniel Camejo and Danny Ratner. "	 Camejo is the author of The SRI Advantage: Why Socially Responsible Investing Has Outperformed Financially.	male
He soon made a career change to costume and wardrobe. 	 Plunkett's first credited work as a costume designer was the 1927 film Hard-Boiled Haggerty.	male
"Lecocq enjoyed an early success in 1856, when he and Georges Bizet shared the first prize in a competition for composers of comic opera, organised by Jacques Offenbach. "	" Lacking the connections to secure commissions from Parisian theatres, Lecocq spent the next decade in obscurity and routine work as a teacher, accompanist and répétiteur."	male
"In 1964 he became the first Executive Director of (as it was then) the Union of Liberal and Progressive Synagogues, now known as Liberal Judaism. "	" Brichto was also a prolific author, having written extensively in the Jewish and national press."	male
"By chance, the original maker, now a grown man, is working there as a local guide and he also sees the newspaper. "	" Each movement of the canoe is celebrated by a short chapter, suitable for reading aloud to a child and decorated with black-and-white sketches and at least one full-page watercolor, all by the author."	male
"In 1999 The New Yorker chose him as one of America's most talented young writers, placing him on their 20 Writers for the 21st Century list.[citation needed] Of the novel The Ice Storm (later produced as the movie starring Sigourney Weaver), Hungry Mind Review commented that it “works on so many levels, and is so smartly written, that it should establish Rick Moody as one of his generation's bellwether voices. "	" It is also remarkably mature, containing far more insights about family life and far more wisdom than any 29-year-old author should reasonably possess."	male
"He is currently a visiting professor at King's College London where he works with the Policy Institute at King's, a visiting professor at the Cass Business School, a board member of the Institute for Fiscal Studies and a visiting fellow at Nuffield College, Oxford. "	" Willetts is the author of several books on conservatism, including Why Vote Conservative (1996) and Modern Conservatism (1992), as well as numerous articles."	male
The Berlin Collection of Classical Antiquities in the Altes Museum contains the remnants of a series of his votive tablets. 	 Placing such an order with a potter and vase painter is likely to be unique in antiquity and is evidence of the high reputation of this artist.	male
"He contacted Lawrence Weschler, a writer at The New Yorker, and helped organize Shapinsky's first one-man show, at London's Mayor Gallery. "	" As a result, Shapinsky became a 'revived artist' as an abstract impressionist."	male
"But Wilders did not want to cooperate, the Dutch right splintered, and Spruyt decided to end his brief political career after six months. "	" After leaving politics, Spruyt entered a life as an independent consultant, journalist, teacher, writer and speaker."	male
"French quoted Blavatsky as saying: No author in the world of literature ever gave a more truthful or more poetical description of these beings than Sir E. Bulwer-Lytton, the author of Zanoni. "	" This novel is especially important for followers of occultism because of the suspicion--actively fostered by its author--that the work is not a fictional account of a mythical fraternity, but an accurate depiction of a real brotherhood of immortals."	male
"As Professor of Painting at the Royal Academy he gave a memorable series of lectures to the students of the Schools, published as Six Lectures on Painting (1904) and Aims and Ideals in Art (1906). "	 Clausen was an official war artist during World War I.	male
"In June 1842 he welcomed at Templeogue, four miles southwest of Dublin, the author of the Snob Papers on his Irish tour (the Sketch Book was, later, dedicated to Lever). "	 The author's character is not humour but sentiment.	male
"He quickly discerned the genius of George Eliot, forthwith accepting and publishing in his magazine the first instalment of her earliest fiction the 'Scenes of Clerical Life,' which had been sent to him without the name of the author, for whom thus early he predicted a great career as a novelist. "	" This commencement of a business connection was soon followed by a personal acquaintance between author and publisher, which ripened into intimacy."	male
"After leaving the band, he ran a whole food shop for about five years. "	 Cullimore went on to become a journalist and author of over 120 children's books.	male
He received his M.A. in English from McGill University in 1928 and his Ph.D. in the discipline from the University of Wisconsin–Madison in 1935. 	" Professionally, Hayakawa was a linguist, psychologist, semanticist, teacher, and writer."	male
"In his 1997 report Shaping their future, Professor Barry McGaw was highly critical of the School Certificate. "	" Professor McGaw recommended that the School Certificate be abolished and replaced, for students leaving school, with a statement of achievement which would include each student’s results on statewide tests in literacy and numeracy as well as school-based results in all courses completed in Year 10."	male
Between the second half of 1780s until his death in 1802 Argunov did not paint but spent all his time managing different estates and businesses of the Sheremetevs. 	 Argunov was an important teacher of art.	male
"Wiinblad illustrated the work of his fellow Dane, Hans Christian Andersen, when he took on the task of providing the artwork for The Swineherd(195 ) which won an award from the American Library Association. "	 Wiinblad was an important designer for the Rosenthal porcelain company.	male
	" According to one student, Medvedev was a popular teacher; strict but not harsh."	male
"Moberg himself was born on a farm just north-west of the town Emmaboda in 1898, where a monument stone now stands since 1970. "	 Nearby is also a small museum about the author.	male
"In clinical psychological practice in the United States, duty to warn requires a clinician who has reasonable grounds to believe that a client may be in imminent danger of harming himself or others to warn the possible victims. "	 Duty to warn is among the few exceptions to a client's right to confidentiality and the therapist's ethical obligation to maintain confidential information related in the context of the therapeutic relationship.	male
"In September that year, he was appointed a deputy secretary in the Department of Supply, rising to the rank of full secretary by 1945. "	" Patel became Home Secretary under Vallabhbhai Patel in 1946, serving till 1950."	male
"By studying the histolotgic sections of the teeth of animals, he inspired a new discipline: the histo-physiology of teeth and surrounding structures. "	 Schour was an innovative teacher who ensured that dental professionals were kept abreast of non-dental research in the other sciences by founding the annual Midwest Seminar of Dental Medicine.	male
"A few days later, Dr. Van Ness explains the situation to the Secretary of Defense, informing him that, in spite of all the setbacks, the project is still on schedule, and that a working model of the space station is about to be launched into orbit. "	 The Secretary notes with satisfaction: Nothing will take us by surprise again!	male
"If this was a court of law, there would have been nothing proven, Goldstone said, emphasizing that his conclusion that war crimes had been committed was always intended as conditional. "	" Nevertheless, the report itself is replete with bold and declarative legal conclusions seemingly at odds with the cautious and conditional explanations of its author."	male
"In 1993 Jungnickel joined Augsburg University where he occupies the chair for discrete mathematics, optimisation, and operations research. "	 A reviewer notes that The author does a beautiful job showing and developing the practical applicability of the fascinating area of finite field theory.	male
He continued to gain recognition as an applied artist due to his success at the Paris International Exhibit of the Decorative Arts in 1925. 	" After these wins, Brodovitch's career as an applied artist took off."	male
"He is now a choreographer and dancer, and he is a member of the dancing group Oyaji dancers, where oyaji is a faintly derogatory Japanese word literally meaning dad but also used for middle-aged men in general. "	 Suzuki made a brief appearance as a dancer in the video for the song O!	male
"Bates is a good and stylish writer; he has an ear for the pithy phrase, and reading him is generally a pleasure. "	" This book, based on original scholarship, vast knowledge of a rapidly changing global field, and the arcana of many loosely linked disciplines brings the skills and interests of its polymath author together for a supremely important purpose."	male
"The story of GPA's downfall is told by Christopher Brown, aviation lawyer and GPA Senior Vice-President, in his 2009 book Crash Landing – An Inside Account of the Fall of GPA. "	 It is based on a contemporaneous diary of events kept by the author from 1990 to 1996 while employed by GPA and subsequently GECAS.	male
In 2019 he joined the Slavic Department at Columbia University with a goal of focusing on contemporary Russian culture within the Harriman Institute. 	 Lipovestky is the author or co-author of five books and more than seventy articles.	male
"Similarly, he has found that people look to external behavior in evaluating biases in others, but engage in introspection when evaluating their own. "	" Gilovich was an early author in the clustering illusion, which is closely related to the hot hand fallacy, and is the tendency to see clusters of data in a random sequence of data as nonrandom."	male
"At any rate, Philotas, the physician of Amphissa, used to tell my grandfather, Lamprias, that he was in Alexandria at the time, studying his profession, and that having got well acquainted with one of the royal cooks, he was easily persuaded by him (young man that he was) to take a view of the extravagant preparations for a royal supper. "	" But the cook burst out laughing and said: The guests are not many, only about twelve; but everything that is set before them must be at perfection, and this an instant of time reduces."	male
"After a long period of absence lasting more than a decade, he directed a film, Nerkkuneraey (Face to Face), in (2004). "	 Menon made a name as a versatile Poster Designer as well.	male
"After his time at Yale, he went on a Grand Tour of Europe between 1832 and 1833. "	" Pell had a passion for agricultural pursuits, and was a familiar figure in agricultural clubs and conventions, as well as an author of many valuable papers on fruit-culture and kindred topics."	male
"In 1892, he collaborated in the founding of the Borinquen Club, the first of several Puerto Rican clubs affiliated with the Cuban Revolutionary Party (PRC). "	 Figueroa would later become secretary of the Executive Board of the PRC.	male
"After the season, Zombo announced his retirement from the game. "	 Zombo is an accomplished artist who has worked on projects like the promotional issue of the City of Heroes comic book.	male
"A Complete Course of Lithography combined Senefelder's history of his own invention with a practical guide to lithography, and remained in print as recently as 1977 (Da Capo Press). "	" Unlike previous printmaking techniques, such as engraving, that required advanced craft skills, lithography facilitated greater accuracy and textural variety, because the artist could now draw directly onto the plate with familiar pens."	male
"In addition, as understudy to Kenneth Sandford, he often played Private Willis in Iolanthe, King Hildebrand in Princess Ida, Pooh-Bah in The Mikado, Sir Despard Murgatroyd in Ruddigore, Wilfred Shadbolt in The Yeomen of the Guard, and Don Alhambra in The Gondoliers. "	 Cook was also known for crafting the Japanese-style fans used by D'Oyly Carte and numerous amateur G&S societies for productions of The Mikado throughout the UK and abroad.	male
"He worked on the topic until 1889, the knowledge he gathered being evaluated as particularly important for the period. "	" A good painter and drawer, Kanitz was also the author of a number of black and white drawings related to the life in the Balkans."	male
"Startide Rising is a 1983 science fiction novel by American writer David Brin, the second book of six set in his Uplift Universe (preceded by Sundiver and followed by The Uplift War). "	 It was revised by the author in 1993 to correct errors and omissions from the original edition.	male
"There he met Lord Soulbury who had been appointed to lead a Commission to Ceylon, pressing his case for self-rule. "	 Goonetilleke became an unofficial secretary to the commission and significantly influenced it.	male
"I throw away most of what I write, he said in a 2006 interview. "	 I feel a lot of guilt about the freedom that being an artist provides.	male
"This led to him being harshly attacked in the 1920s by the proletarian musician movement, especially by the representatives of the RAPM Russian Association of Proletarian Musicians and Prokoll (Production Collective of the Students at the Moscow Conservatory). "	" Roslavets was accused of being a counter-revolutionary and bourgeois artist, alien to the proletariat, as well as formalist, a class enemy and in the late 1920s and early 1930s, a Trotskyist, saboteur; etc."	male
"Five of Unaipon's traditional stories were published in 1929 as Native Legends, under his own name and with his picture on the cover. "	" They have been republished in their original form, under the author's name, as Legendary Tales of the Australian Aborigines."	male
Ørsted himself recounted how he influenced Zeise through conversations and encouraged him when he expressed the desire to take the university entrance examination (Examen artium). 	 Zeise became a university student in 1809.	male
	 McKay was elected student body president in 1916.	male
He appeared in stage productions throughout college and continued on stage long after his tour of duty in Vietnam. 	 Savini served as a combat photographer during the Vietnam War.	male
"He is also a member of the group Dilated Peoples, as well as being one-half of Step Brothers with The Alchemist. "	" Before creating music, Perretta was a graffiti artist."	male
"He continued his active support of ultra-royalist views until his death, which took place in Paris on 17 January 1825. "	" Besides a large number of political pamphlets, Ferrand was the author of:"	male
"At the age of eighteen he was received into the Order of Preachers at Rome, and made his religious profession in 1852 and studied philosophy at the College of Saint Thomas, the future Pontifical University of Saint Thomas Aquinas, Angelicum. "	 From the beginning Zigliara was a student of uncommon brilliancy.	male
"Not only did he continuously treat new subjects, he is also known, upon popular demand, to have reworked at his Beyoğlu atelier some of his earlier studies of Damascus, Beirut and Egypt from sketches at hand, selling most of them to his Levantine clients. "	" During this formative period in the Turkish art of painting and its milieu, the artist was, therefore, far-removed from the new developments."	male
"Nor is Ḥiyya's authorship contradicted by various contradictions presented by individual passages in the Sifra as compared with the Tosefta, which latter also is ascribed to him. "	" If it is assumed that Ḥiyya is the author, the title Sifra debei Rav is to be explained as indicating that Sifra was among the midrashim which were accepted by Rav's school and which thereby came into general use."	male
"Born in Port de Grave, Newfoundland (now Newfoundland and Labrador, Canada), he was the fourth of the seven children of Robert Prowse and Jane Woodley. "	 Prowse is the author of A History of Newfoundland which is considered one of the most complete and meticulous colonial history books in existence.	male
"To function effectively, this presidential appointee must be able to maintain a relationship of mutual confidence and respect with two people who are central in our government and who both outrank him: the Secretary of State and the United States Representative to the UN. "	" If relations break down with either, the Assistant Secretary's usefulness is, of course, critically impaired."	male
"He is also a fan of football and follows his hometown professional football team, FC Zenit Saint Petersburg. "	 Medvedev is an avid amateur photographer.	male
"In 1986, Nair rose to the post of Deputy Secretary at the Ministry of Trade and Industry where he was involved in the Uruguay Round of General Agreement on Tariffs and Trade (GATT) negotiations, as well as with the Association of Southeast Asian Nations (ASEAN). "	" From 1989 to 1997, Nair was Singapore's Deputy Secretary at the Ministry of Defence."	male
"In 1994, he began his union career as a trainee organiser under the ACTU's Organising Works program at the Australian Workers' Union (AWU), before being elected Victorian state secretary in 1998. "	 Shorten was elected as the AWU's national secretary in 2001 and was re-elected in 2005.	male
"After the war, he enrolled at the University of Louisville and earned a Bachelor of Arts degree in 1948 and a law degree in 1950. "	 Cook was elected to the Kentucky House of Representatives in 1957 and again in 1959.	male
"In the 1950s, Mazniashvili's son, a World War II veteran of the Soviet army, submitted a request for a political rehabilitation of his father, but this was turned down by the authorities. "	 Maznashvili is the author of the popular Soldier’s Memoirs.	male
He ran for the governorship of Cebu in 1931 and became the President of the League of Provincial Governors of the Philippines. 	 Cuenco was Secretary of Public Works and Communications from 1936 to 1939.	male
"Charles E. Dvorak of the C.A.A. then demonstrated his class, and from the 11-foot mark he competed alone, the other four men being tied at that mark. "	" After retiring from athletic competition, Dvorak worked over the next 35 years as a lawyer, apple farmer, civil servant, athletic coach and teacher."	male
Gemmell later said that his Managing Director had regarded it a poisonous attack on his integrity. 	" After the publication of Waylander, Gemmell became an author full-time, writing over thirty novels in total, some as part of long-running series, others as standalone works."	male
"In 1947 the Foundation for Special Chairs in Calvinistic Philosophy came into existence, with Vollenhoven as chairman. "	" At the Vrije Universiteit itself, S. U. Zuidema was appointed, in part to relieve Vollenhoven of the introduction to philosophy course, which, with the growth of the student population after the War, had become quite demanding."	male
"He attended the University of Hawaii, where he received his bachelor's and master's degrees. "	" Originally a high school teacher, Akaka went on to serve as a principal for six years."	male
"In a 2019 interview with CNBC, he told how he sees great potential with Lyft and even though the company went public in 2018, he is bullish on the company and will be invested in it for a long time. "	 This marks the first time an honor of this kind has been bestowed upon a rap artist.	male
"Senate seat two years earlier, died barely a year into his term. "	 Bloxham was named Secretary of State.	male
"During that time, he won two BBL championships as a head coach, one with the Birmingham Bullets in 1996 and one with the Manchester Giants in 2000, while also helping London Towers in the Euroleague. "	 Nurse also won the BBL Coach of the Year Award in the 1999–2000 and 2003–04 seasons.	male
"In 1995, he made an appearance on Broadway, providing the voice of the titular book in the 1995 revival of How to Succeed in Business Without Really Trying. "	" Cronkite was a finalist for NASA's Journalist in Space program, which mirrored the Teacher in Space Project, an opportunity that was suspended after the Challenger disaster in 1986."	male
"Although he has done boxing and mixed martial arts, he is mainly a football player, playing twice a week. "	" As an elementary and high school student, Cuenca played as a football varsity player for PAREF Southridge School."	male
Thereafter he was an inmate at Brandenburg-Görden Prison in Brandenburg an der Havel until 1945. 	" From 1945 to 1946, Seibt was the first secretary of the Brandenburg district leadership and a member of the KPD Brandenburg state leadership."	male
"Before the marriage, Chagall had difficulty convincing Bella's parents that he would be a suitable husband for their daughter. "	 Becoming a successful artist now became a goal and inspiration.	male
"In 1794, Lagrange was appointed professor of the École Polytechnique; and his lectures there, described by mathematicians who had the good fortune to be able to attend them, were almost perfect both in form and matter.[citation needed] Beginning with the merest elements, he led his hearers on until, almost unknown to themselves, they were themselves extending the bounds of the subject: above all he impressed on his pupils the advantage of always using general methods expressed in a symmetrical notation. "	 But Lagrange does not seem to have been a successful teacher.	male
"In Panorama Developments (Guildford) Limited v Fidelis Furnishing Fabrics Limited [1971] 2 QB 711, a company secretary fraudulently hired cars for his own use without the knowledge of the managing director. "	 A company secretary routinely enters into contracts in the company's name and has administrative responsibilities that would give apparent authority to hire cars.	male
He left his position for personal reasons and took several clerical and accounting jobs. 	" After briefly serving in law enforcement for the colonial government, Gizenga became a teacher at a secondary Catholic school."	male
"The author himself had no very high opinion of the work, remarking that he had written it chiefly for young students. "	" The Shulchan Aruch achieved its reputation and popularity not only against the wishes of the author, but, perhaps, through the very scholars who criticized it."	male
It is his first non-fiction book. 	" The author notes in the foreword of the 1994 reprint of this book that medical practices (both the culture, technology and finances) have changed significantly since the book was written, but that the text was left as is to give us a more complete glimpse into the past."	male
"However, during this period he also became closely associated with the Christian Patriot movement on the right, and spoke at conferences sponsored by Christian Identity pastor Pete Peters. "	 Gritz is the author of three books.	male
"In 1912 the novel Dry Valley (Суходол) came out, his second major piece of semi-autobiographical fiction, concerning the dire state of the Russian rural community. "	" Again it left the literary critics divided: social democrats praised its stark honesty, many others were appalled with the author's negativism."	male
"A video of a student from Duncanville, 18-year-old sophomore Jeff Bliss scolding his social studies/history teacher, went viral in May 2013, and was picked up by media. "	 CBS local news quoted the student:	male
"Aside from his work as a musician, Mickelson has worked as a writer for Scream Magazine in addition to his work as a graphic designer. "	 Mickelson is the lead designer for Scream Magazine and the Inferno Metal Festival.	male
"He was educated at Dungourney National School, Rockwell College, County Tipperary, and University College Dublin where he graduated with a Bachelor of Arts in Economics, Politics and Psychology. "	" For a brief period in the early 1970s, Ahern worked as a secondary school teacher."	male
"Paul intervenes and overpowers him, but he wriggles free. "	 The librarian is then run over by a car in front of the library and apparently killed.	male
His memoir of Alkan in his book Les Pianistes célèbres is nonetheless one of the most valuable sources for Alkan's biography. 	 Marmontel achieved renown as an effective and imaginative teacher.	male
"Fernando Virgili (Cerreto Sannita, 6 September 1913 – Naples, 2007), first Duke of Castelvenere, is an Italian professor, veteran and artist. "	 Virgili attended technical studies and engineering and was a self-taught artist.	male
At the center of his music is the sound of what is real. 	" The sum total of these varying components is an awesome knowledge, consumed and then shared by an artist who is free enough to do both."	male
"Apart from his parliamentary activities, Bellenger wrote a column for the Sunday Pictorial under the byline Voice of the Services. "	" When the Labour Party returned to government with a landslide at the 1945 general election, Bellenger was appointed Financial Secretary to the War Office."	male
"Corbetta was the most significant guitar composer of his day (Gaspar Sanz called him el mejor de todos, or the greatest of all) and one of the first to publish in the mixed style. "	 Corbetta was also influential as a teacher.	male
"After the dentist takes Lavonia to the dental room, his nurse Flovilla kisses Lamar. "	 The doctor then switches places with the nurse.	male
"Reviewing X-Men: Evolution's third season, Filip Vukcevic of IGN was mixed in his analysis, deeming it inferior to X-Men: The Animated Series and concluding, Evolution ... will interest long-time X-fans, but the fluffy stories and underutilized character personalities ... will cause discerning viewers to zone out, suffering from its attempt to cram everyone in. "	" The author also panned the series' average voice acting, feeling that Magneto, Wolverine and Beast were miscast."	male
"In 2006 he became Associate Professor at Istanbul Bilgi University, and in 2008 Professor of Turkology at the Institute for the Near and Middle East of the University of Munich. "	" Neumann is the author, publisher and translator of several books on the subject."	male
"In 1996, Bowie reflected on his time with Tin Machine: For better or worse it helped me to pin down what I did and didn’t enjoy about being an artist. "	" It helped me, I feel, to recover as an artist."	male
"A precocious youngster, he was admitted to the Pharmacy School at the University of Buenos Aires at 14 years of age and subsequently to the Medical School of the same university from 1904 to 1910, beginning when he was only 17 years old. "	" While a third year medical student, Houssay took up a post as a research and teaching assistant in the Chair of Physiology."	male
"Writing in Wisden in 1978, Basil Easterbrook said: Not the least of Turnbull's achievements was that he was the first man to justify Glamorgan's elevation to first-class status in 1921. "	" When Turnbull took over [in 1930, as captain and club secretary] they were indeed a bedraggled flock without a shepherd."	male
"He's using his blood to make them interesting, but when you look at them they're what any four-year-old can do. "	 The photos gained praise for depicting a much cleaner and more handsome Doherty.	male
"He dissected and illustrated numerous creatures; his anatomical drawing of a sea urchin is the earlier extant depiction of an invertebrate and he found important anatomical similarities between dolphins, pigs and humans. "	 Rondelet was a popular and effective teacher and lecturer and was elected chancellor of Montpellier University in 1556.	male
"He successfully managed the Conservative Party's 1983 election campaign, and was rewarded with an appointment as Secretary of State for Trade and Industry, but was forced to resign after revelations that his former secretary, Sara Keays, was pregnant with his child, whom she later bore and named Flora Keays. "	" Parkinson subsequently served as Secretary of State for Energy, and later Secretary of State for Transport."	male
He was able to use this talent effectively when he became manager of the South African government's Native Labour Bureau and adviser to the Native Recruiting Corporation for the Chamber of Mines at a time of increasing industrial unrest. 	" Taberer was the Secretary for Zululand in 1894, an acting magistrate in Eshowe, Zululand in 1895."	male
The ballots from Otsego County were forwarded to the secretary of state by Sheriff Smith who was holding over in office until the appointment of a successor after his term had expired. 	 The ballot box from Tioga County was delivered to the secretary of state by the clerk of the special deputy appointed by the sheriff.	male
	 Cook was pressed into service as a player as a result of injuries.	male
"It finally leads him to union with Christ by exciting love for him as well as by pointing out the frailty of all creatures: It is necessary to leave the beloved thing for the beloved, because Jesus wishes to be loved above all things (Oportet dilectum propter dilectum relinquere, quia Jesus vult solus super omnia amari: II, xvii). "	" Though the book betrays that the author was well versed not only in Scholastic philosophy and theology, but also in the secrets of the mystical life, yet this fact never obtrudes itself on the reader, nor does it obscure the meaning of the contents."	male
"As for the factory craftsman, his training under the apprenticeship system limited him to one phase in the production of glass. "	" This training could not prepare anyone to function as an independent artist, but only to serve as a cog in the industrial machinery."	male
"In 2012 and 2013, Cabrera was nominated by his team for the Roberto Clemente Award, honoring the MLB player who best represents baseball on and off the field. "	 Cabrera is both a Catholic and a practitioner of Santería.	male
"Through this piece and his other performance works, Brus hoped to reveal the still fascist essence of the nation. "	 Brus also was editor of the Schastrommel (author's edition) from 1969 on.	male
"He was a principal player in the coup against Khrushchev in October 1964, obviously influencing the KGB to support the conspirators. "	 Shelepin probably expected to become First Secretary and de facto leader of the USSR when Khrushchev was overthrown.	male
"According to al-Jawbari in his book Kashf al-Asrar (Unveiling the Secrets)members of the Haydariyya dervish order took Hashish before staging their performances of self-mutilation, in order to numb the pain. "	 The author was a conjuror whose writing was an exposé of not only magic tricks but also the 'dodges' of beggars and other 'low-life'.	male
It was maintained that he appropriated the thoughts of his teacher Hasdai Crescas without giving him due credit. 	" Crescas having been Albo's teacher, the similarities are only such as might be reasonably expected in the writings of both teacher and student."	male
I am the Ietada who wishes to bequeth his name to generations to come. 	 Ietada is singled out as an example of the honor of samurai and prowess by the author of Hogen Monogatari:	male
Davis was then sentenced to a six-month prison term where he was able to do some research. 	 Opinions expressed in this paper are the author's and are not necessarily those of the Bureau of Prisons.	male
"He is the father of Simon Festing, the former executive director of the Research Defence Society, which focuses on supplying information about, and defending, the use of animals in medical experiments in the UK. "	 Festing is the author of over 200 scientific papers on laboratory animal genetics and related issues.	male
"As one of the largest conservationist organizations in the country,[citation needed] The Wilderness Society has contributed to nearly all major designations of lands to be entered into the wilderness system.[citation needed] The Wilderness Society was incorporated on April 30, 1937, by a group of eight men who would later become some of the 20th century's most prominent conservationists. "	" Yard became the Society's first secretary and the editor of its magazine, The Living Wilderness."	male
"CP Leblond was born in Lille, France, in 1910, the son of a building contractor who died when Leblond was only 10 years old, leaving his mother to raise four boys on her own. "	" A brilliant student, Leblond debated becoming a film producer, an architect or a scientist."	male
"To cure the psychological maladjustment, [it's necessary] to catch him in his true state. "	" Blummer was surprised by these provisions, saying, I don't know of any time when such monitoring has been used on an artist."	male
"By 1748 his novel Clarissa was published in full: two volumes appeared in November 1747, two in April 1748, and three in December 1748. "	" Unlike the novel, the author was not faring well at this time."	male
"The student confesses he does not know, with the ethical precept, answering with untruth, when one does not know the answer, is wrong. "	 The student asks sage Pippalada the same question.	male
"He returned to France and died on 22 July 1877 in Poitiers, while caring for his father. "	 This botanist is denoted by the author abbreviation Wedd.	male
"Since 1976, he has worked as a freelance writer. "	" Maar is the author of a large number of novels, short stories and plays."	male
"The anonymous author recounts the story of their bequest of the lands to the parish to support the annual dole, and goes on to say that despite the antiquity of the events described, he has no doubt as to their authenticity. "	" As with all accounts of the tradition prior to 1790 the author does not mention their alleged birth in 1100, or the name of Chulkhurst; these details first appeared in a broadside published in 1790."	male
"Lázaro states that the motivation for his writing is to communicate his experiences of overcoming deception, hypocrisy, and falsehood (engaño). "	" Lázaro shares some of the traits of the central figure of Encolpius, a former gladiator, though it is unlikely that the author had access to Petronius' work."	male
"As part of the war effort Blickensderfer converted much of his factory to produce munitions for the war, including a machine gun belt feed for the French government and 50 caliber machine gun mounts for aircraft. "	" With the brilliant chief engineer and designer gone, the company could not continue, and the heirs sold the company in 1919."	male
"Outside of men's curling, Ramsfjell and his sister Maia represented Norway at the 2018 World Mixed Doubles Curling Championship. "	" As of 2019, Ramsfjell was a masters student in electrical engineering."	male
"Carlucci is asked for input, and he mumbles that the US government does not involve itself in the internal affairs of other countries. "	" At the time, Carlucci was the second secretary of the US Embassy in Congo."	male
"He also campaigned for the British government to do their part by preserving a Second World War airfield in its original condition for future generations to see, and for the history of each airfield to be recorded fully and the men and sacrifice never forgotten. "	 The book took 18 months to compile and drew upon the author's knowledge and experience working in airfields and documenting their history.	male
"It was in these February 1858 speeches that Blackwell first argued that woman suffrage was politically expedient no matter a party's principles or goals: Enfranchising women, he said, would allow Republicans to more than double their influence toward abolishing slavery, the American Party to double the number of native-born voters, and Democrats to give votes to labor. "	 Blackwell served as secretary of this organization during its three-year existence.	male
"Again on Wright's report, Lowin is supposed to have originated the role of Bosola in The Duchess of Malfi, and he was probably also the original Flaminius in Philip Massinger's Believe as You List. "	" Lowin was the author of a single literary work (as far as is known), a brief pamphlet titled Conclusions upon Dances that was first printed in 1607."	male
